,,,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,omics,imaging,imaging,imaging,imaging,imaging,imaging,imaging,imaging,imaging,imaging,imaging,imaging,imaging,imaging,imaging,imaging,proteomics,proteomics,proteomics
,,,Hi-C,Hi-C,Hi-C,Hi-C,Hi-C,Hi-C,Hi-C,Hi-C,Hi-C,Hi-C,Hi-C,ChIA-PET,ChIA-PET,Capture-Hi-C,single cell omics,single cell omics,single cell omics,single cell omics,other omics,other omics,other omics,other omics,other omics,other omics,other omics,other omics,other omics,other omics,other omics,DNA-FISH,DNA-FISH,Live cell imaging,SRM,SRM,SRM,SRM,SRM,SRM,SRM,other imaging,other imaging,other imaging,other imaging,other imaging,live cell imaging,proteomics,proteomics,proteomics
,,,HiC/TCC,Crosslinking-TCC,Cryo-mill-HiC/GCCP,Hi-C,microC,in situ DNase Hi-C,COLA,Hi-C (karyotype assessment),Hi-C (loop resolution),HiC,Distance HiC,CTCF HiChip,ChIA-PET,5C,single cell repli-seq,Sci Hi-C,Single-cell HiC,SPRITE Single Cell,DamID,TRIP,repli-seq,TSA-seq,GAM,ChIP-seq,RNA-seq,RICh-PET,NAD-seq (deep sequencing of purified nucleoli),SPRITE RNA-DNA,SPRITE DNA,DNA-FISH,CRISPR-FISH,Live cell imaging,PALM/STORM,single-molecule localization / lattice light-sheet,3D single-molecule SRM,4D single-particle tracking,Simultaneous tracking of ~100 Histones*,"Multiple locus tracking with dCAS9/ArrayGN (MUC1, VIM, CK14)",Live Cell SRM (widefield),Confocal microscopy,EM Tomography,RNA-FISH,Soft-X Ray Tomography/correlative Cryo-Fluorescence,RNA FISH with expansion microscopy,live widefield microscopy,proteomics,Middle Down Histone Analysis,RAP-MS
NOFIC,Alber/Chen,Lin Chen,"X;; prod: yes; still: yes; pub: Rao et al 2014, Kalhor et al., NBT 2011; exp17: 60; exp20: 300; raw: 100; rawuse: yes; rawuse2: N/A; arch: 5; opens: opensource",X;; prod: no; still: no; pub: in development; exp17: 20; exp20: 100; raw: 100; rawuse: yes; rawuse2: N/A; arch: 5; opens: opensource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOFIC,Alber/Chen,Lin Chen/John Aitchison/Michael Rout,,,X;; prod: no; still: no; pub: in development; exp17: 10; exp20: 100; raw: 200; rawuse: yes; rawuse2: N/A; arch: 20; opens: opensource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOFIC,Belmont,Bas van Steensel,,,,,,,,,,,,,,,,,,,X;; prod: yes; pub: PMID:20513434*; exp17: 20; exp20: 100; raw: 1; rawuse: yes; rawuse2: yes; arch: 0.05; opens: in the future there will be a pipeline available; comments: *  [but DamID-seq instead of DamID-array],X;; prod: yes; pub: PMID:23953119; exp17: 5; exp20: 20; raw: 12; rawuse: no; rawuse2: yes; arch: 0.01; opens: processing software is available (http://trip.nki.nl);*; comments: *  we are implementing some improvements that we will make available. We will certainly provide processed files.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOFIC,Belmont,David GIlbert,,,,,,,,,,,,,,,X;; prod: no; still: yes; pub: Manuscript to be submitted in 2017; exp17: 203; exp20: NA; raw: 0.5; rawuse: no; rawuse2: yes; arch: 0.001; opens: Pipeline will be submitted,,,,,,X;; prod: yes; pub: method paper soon to be submitted *; exp17: 24; exp20: 200; raw: 0.3; rawuse: yes; rawuse2: N/A; arch: 0.003; opens: in the future there will be a pipeline available; comments: * method paper soon to be submitted (conversion of PMID: 21637205 to sequencing),,,,,,,,,,,,,,,,,,,,,,,,,,,
NOFIC,Belmont,Andrew Belmont,,,,,,,,,,,,,,,,,,,,,,"X;; prod: no; still: yes; pub: TSA-seq, to appear in 2017 *; exp17: 5; exp20: 12-24; raw: 56 (with biolgoical duplicates); rawuse: No (Fastq files); rawuse2: Yes; arch: 1 (if wig file); 0.3 (bigwig); opens: Will initiall submit the processed files, but working on a standardized pipeline with open software; comments: * Discovery paper should be published in 2017: TSA-Seq data as part of this paper could be deposited, although the protocol will continue to be developed.  We're not sure what is appropriate here. We are still in the technology stage as the very first paper has not even been published.  We are funded to further develop the technology and I anticipate both the eperimental protocol and the data processing methods will continue to evolve over the course of the grant period.  So we are not close to production stage yet, and we have not even begun to seriously address a quality control pipeline.  Yet the data generated is orthogonal to existing methods and therefore I think will be useful even as the method evolves.",,,,,,,,X;; prod: yes; exp17: 1000; exp20: 50000; raw: 1; rawuse: yes; rawuse2: N/A; arch: 0.01; opens: submitted in the near term; may be standardized in the long run.,,,,,,,,,,,,,,,,,,
NOFIC,Dekker/Mirny,Job Dekker,,,,"X;; prod: yes; still: yes; pub: HI-C 2.0 biorxiv*; exp17: 70; exp20: 200; raw: 50; rawuse: yes; rawuse2: N/A; arch: 15; opens: create processed files; comments: * HI-C 2.0: AN OPTIMIZED HI-C PROCEDURE FOR HIGH-RESOLUTION GENOME-WIDE MAPPING OF CHROMOSOME CONFORMATION, bioarxiv, http://biorxiv.org/content/early/2016/11/27/090001","X;; prod: yes; still: yes; pub: Micro-C XL, Nature Methods, 2016*; exp17: 20; exp20: 40; raw: 50; rawuse: yes; rawuse2: N/A; arch: 15; opens: create processed files; comments: * Micro-C XL: assaying chromosome conformation from the nucleosome to the entire genome, Nature Methods, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOFIC,Ren,Bing Ren,,,,X;; prod: Yes; still: n.a.; pub: Rao et al. 2014; exp17: 20; exp20: 100; raw: 200; rawuse: yes; rawuse2: na; arch: 10; opens: will submit proccessed files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOFIC,Ren,Kees Murre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X;; prod: yes; still: yes; pub: Lucas et al. 2014; exp17: 4; exp20: 20; raw: 5000; rawuse: yes; rawuse2: N/A; arch: 1; opens: will sbumit the processed files,,,,,,,,,,,,,,,,
